Dataset,Instance Reduction Method,kernel,C,class_weight,shrinking,Accuracy,Time (seconds),Storage percentage,gamma
balance_0,drop3,linear,10.0,balanced,True,0.4838709677419355,0.003002166748046875,4.440497335701599,
balance_2,drop3,linear,10.0,balanced,True,0.7301587301587301,0.002000093460083008,4.6263345195729535,
balance_3,drop3,linear,10.0,balanced,True,0.7076923076923077,0.0030035972595214844,4.642857142857143,
balance_6,drop3,linear,10.0,balanced,True,0.6065573770491803,0.003002643585205078,2.8368794326241136,
balance_7,drop3,linear,10.0,balanced,True,0.7540983606557377,0.0020008087158203125,4.432624113475177,
balance_8,drop3,linear,10.0,balanced,True,0.7936507936507936,0.0029993057250976562,3.3807829181494666,
balance_9,drop3,linear,10.0,balanced,True,0.7049180327868853,0.002999544143676758,4.964539007092199,
sick_0,drop3,rbf,100.0,balanced,True,0.928030303030303,0.00400090217590332,2.900378310214376,1.0
sick_1,drop3,rbf,100.0,balanced,True,0.7538461538461538,0.003000974655151367,2.6856903063365505,1.0
sick_2,drop3,rbf,100.0,balanced,True,0.927536231884058,0.0030024051666259766,2.2813688212927756,1.0
sick_3,drop3,rbf,100.0,balanced,True,0.8127340823970037,0.00299835205078125,2.6515151515151514,1.0
sick_4,drop3,rbf,100.0,balanced,True,0.9166666666666666,0.0029981136322021484,2.3118957545187055,1.0
sick_5,drop3,rbf,100.0,balanced,True,0.8947368421052632,0.003000020980834961,2.5241901556583928,1.0
sick_6,drop3,rbf,100.0,balanced,True,0.9140625,0.003001689910888672,2.7230833682446587,1.0
sick_7,drop3,rbf,100.0,balanced,True,0.7821011673151751,0.00500178337097168,2.682313495389774,1.0
sick_8,drop3,rbf,100.0,balanced,True,0.8614232209737828,0.0029973983764648438,2.441077441077441,1.0
sick_9,drop3,rbf,100.0,balanced,True,0.9285714285714286,0.002999544143676758,2.3138409760201935,1.0
