Dataset,k_max,best_k,Seed,ARI,Silhouette,Purity,DBI,Time (s)
satimage,4,4,0,0.3367623884036008,0.3270399253398497,0.7191919191919192,1.1757865163280905,0.1074490547180175
satimage,4,4,1,0.3367623884036008,0.3270399253398497,0.7191919191919192,1.1757865163280907,0.0730726718902587
satimage,4,4,2,0.4351839958532407,0.3934057752089315,0.8253302253302254,0.9326856099801668,0.1008329391479492
satimage,4,4,3,0.4351839958532407,0.3934057752089315,0.8253302253302254,0.9326856099801668,0.0988214015960693
satimage,4,4,4,0.4351839958532407,0.3934057752089315,0.8253302253302254,0.9326856099801668,0.0951676368713378
satimage,8,8,0,0.5574109000756209,0.3094754326489978,0.6621600621600622,1.2126897269821342,0.1567327976226806
satimage,8,8,1,0.5574881057363904,0.3095174297584818,0.662004662004662,1.2124825454599018,0.1128237247467041
satimage,8,8,2,0.4515790823423731,0.2958607261111038,0.6013986013986014,1.2720520841922884,0.1625523567199707
satimage,8,8,3,0.3701607544959419,0.2630230534378896,0.5406371406371406,1.3280251045915246,0.1509408950805664
satimage,8,8,4,0.3702865919401027,0.2630496001675078,0.5407925407925408,1.328199101377431,0.1377792358398437
satimage,16,16,0,0.3587630820660479,0.1965155585002806,0.4012432012432012,1.6025325155501808,0.1725296974182129
satimage,16,16,1,0.3590983871921241,0.1963580565400551,0.4007770007770008,1.6057103437630396,0.1297576427459716
satimage,16,16,2,0.3094194125638606,0.1733536116508394,0.3619269619269619,1.660984350222057,0.1971654891967773
satimage,16,16,3,0.3383065596885066,0.1835240081397034,0.3964257964257964,1.6373636640622722,0.1656651496887207
satimage,16,16,4,0.3384038463994452,0.1835447360795947,0.3964257964257964,1.6383613390042775,0.174797773361206
satimage,32,32,0,0.2382115998975676,0.1410051386481728,0.2708624708624708,1.837435562434381,0.246356725692749
satimage,32,32,1,0.2292648338861657,0.1372374794139619,0.262004662004662,1.743790726937977,0.2310352325439453
satimage,32,32,2,0.2386696773143602,0.1351209012854589,0.2874902874902875,1.8191505004288555,0.2593605518341064
satimage,32,32,3,0.2300866920684693,0.1403511617029164,0.2853146853146853,1.7516961146385668,0.2319459915161132
satimage,32,32,4,0.2316810888967376,0.1408718593427292,0.2787878787878788,1.7860333853201662,0.2267296314239502
satimage,64,64,0,0.1528096595308495,0.1130656913227436,0.1886557886557886,1.8475090341759328,0.3923516273498535
satimage,64,64,1,0.1526755265903323,0.105630245174588,0.1829059829059829,1.82787139769366,0.3143737316131592
satimage,64,64,2,0.1355816714279992,0.093690719779597,0.1706293706293706,1.903798862082396,0.3711011409759521
satimage,64,64,3,0.1533945466036552,0.1120309655350607,0.2052836052836052,1.888615782101581,0.3745510578155517
satimage,64,64,4,0.1524152781577416,0.1158343721301411,0.1962703962703962,1.8479039321066573,0.3622283935546875
satimage,128,128,0,0.0846505915875569,0.0875130404818274,0.117016317016317,1.8893538912301968,0.6317825317382812
satimage,128,128,1,0.0885700900443206,0.0855250250886331,0.1114219114219114,1.906722065853912,0.6343474388122559
satimage,128,128,2,0.0942744327883548,0.0899454104574081,0.1369075369075369,1.8658821486822608,0.6764533519744873
satimage,128,128,3,0.0878956695048361,0.0829420042737743,0.1268065268065268,1.9169653261164143,0.6234462261199951
satimage,128,128,4,0.0939181092436193,0.0938665004894563,0.1446775446775446,1.893632096950263,0.6367971897125244
satimage,256,256,0,0.0431295785658917,0.0717204513496234,0.0643356643356643,1.915663135228571,1.1943247318267822
satimage,256,256,1,0.0457379001675092,0.0725959910631584,0.0685314685314685,1.881772345305209,1.0817508697509766
satimage,256,256,2,0.0518296332259273,0.0717878807397218,0.0806526806526806,1.8514875566980031,1.129507064819336
satimage,256,256,3,0.0432242237263237,0.0751605044270134,0.0736596736596736,1.8938282085594325,1.1718332767486572
satimage,256,256,4,0.0494370757578004,0.0766575787631256,0.0794094794094794,1.8339924503965377,1.07558012008667
satimage,512,467,0,0.0327741623730147,0.0651703048127079,0.0542346542346542,1.6020642091498596,7.099560499191284
satimage,512,439,1,0.0320538938557922,0.0645775848597915,0.0505050505050505,1.6313248937469909,6.492308139801025
satimage,512,412,2,0.0338626878141043,0.0657916344575287,0.0599844599844599,1.680970628775046,5.5998148918151855
satimage,512,444,3,0.0309870236765826,0.0626939582045159,0.0560994560994561,1.581628097069913,5.6339194774627686
satimage,512,461,4,0.0358902975803302,0.0685708196421451,0.0612276612276612,1.55372424910347,7.102736711502075
satimage,1024,467,0,0.0327741623730147,0.0651703048127079,0.0542346542346542,1.6020642091498596,7.171782970428467
satimage,1024,439,1,0.0320538938557922,0.0645775848597915,0.0505050505050505,1.6313248937469909,6.54904055595398
satimage,1024,412,2,0.0338626878141043,0.0657916344575287,0.0599844599844599,1.680970628775046,5.347601175308228
satimage,1024,444,3,0.0309870236765826,0.0626939582045159,0.0560994560994561,1.581628097069913,5.659677267074585
satimage,1024,461,4,0.0358902975803302,0.0685708196421451,0.0612276612276612,1.55372424910347,6.972272872924805
splice,4,4,0,0.277849851574742,0.01178728414568,0.6137724550898204,7.3145670475174835,0.5365447998046875
splice,4,4,1,0.3056702607877848,0.0117626563119339,0.6287425149700598,7.218769150169615,0.8100414276123047
splice,4,4,2,0.3084246250505711,0.0116646430042212,0.635395874916833,7.215212898496009,0.6572692394256592
splice,4,4,3,0.3076136481191766,0.0116987871972087,0.6290751829673985,7.257876146416661,0.7087001800537109
splice,4,4,4,0.2837751578672929,0.011614271738057,0.6197604790419161,7.324071604397371,0.768115758895874
splice,8,4,0,0.277849851574742,0.01178728414568,0.6137724550898204,7.3145670475174835,0.8523707389831543
splice,8,5,1,0.2851895345560598,0.0085352371371131,0.5472388556220892,7.366219529831804,1.394683837890625
splice,8,5,2,0.2850811922304941,0.0083370839056383,0.5555555555555556,7.393103294646023,1.1816537380218506
splice,8,5,3,0.2884776302762973,0.0084047263299208,0.5439121756487026,7.384327195183926,1.1379246711730957
splice,8,5,4,0.2709897908440648,0.0087891300435726,0.5525615435795076,7.503830091600939,1.2025716304779053
splice,16,4,0,0.277849851574742,0.01178728414568,0.6137724550898204,7.3145670475174835,0.7211902141571045
splice,16,5,1,0.2851895345560598,0.0085352371371131,0.5472388556220892,7.366219529831804,1.2327311038970947
splice,16,5,2,0.2850811922304941,0.0083370839056383,0.5555555555555556,7.393103294646023,1.0803794860839844
splice,16,5,3,0.2884776302762973,0.0084047263299208,0.5439121756487026,7.384327195183926,1.2746493816375732
splice,16,5,4,0.2709897908440648,0.0087891300435726,0.5525615435795076,7.503830091600939,1.3358724117279053
splice,32,4,0,0.277849851574742,0.01178728414568,0.6137724550898204,7.3145670475174835,0.8785433769226074
splice,32,5,1,0.2851895345560598,0.0085352371371131,0.5472388556220892,7.366219529831804,1.3322224617004397
splice,32,5,2,0.2850811922304941,0.0083370839056383,0.5555555555555556,7.393103294646023,1.2188332080841064
splice,32,5,3,0.2884776302762973,0.0084047263299208,0.5439121756487026,7.384327195183926,1.2187738418579102
splice,32,5,4,0.2709897908440648,0.0087891300435726,0.5525615435795076,7.503830091600939,1.1472959518432615
splice,64,4,0,0.277849851574742,0.01178728414568,0.6137724550898204,7.3145670475174835,0.7596454620361328
splice,64,5,1,0.2851895345560598,0.0085352371371131,0.5472388556220892,7.366219529831804,1.3648357391357422
splice,64,5,2,0.2850811922304941,0.0083370839056383,0.5555555555555556,7.393103294646023,1.275475263595581
splice,64,5,3,0.2884776302762973,0.0084047263299208,0.5439121756487026,7.384327195183926,1.2144231796264648
splice,64,5,4,0.2709897908440648,0.0087891300435726,0.5525615435795076,7.503830091600939,1.2664105892181396
splice,128,4,0,0.277849851574742,0.01178728414568,0.6137724550898204,7.3145670475174835,0.8590848445892334
splice,128,5,1,0.2851895345560598,0.0085352371371131,0.5472388556220892,7.366219529831804,1.7099659442901611
splice,128,5,2,0.2850811922304941,0.0083370839056383,0.5555555555555556,7.393103294646023,1.5064139366149902
splice,128,5,3,0.2884776302762973,0.0084047263299208,0.5439121756487026,7.384327195183926,1.578176736831665
splice,128,5,4,0.2709897908440648,0.0087891300435726,0.5525615435795076,7.503830091600939,1.6635210514068604
splice,256,4,0,0.277849851574742,0.01178728414568,0.6137724550898204,7.3145670475174835,1.0314583778381348
splice,256,5,1,0.2851895345560598,0.0085352371371131,0.5472388556220892,7.366219529831804,1.7663094997406006
splice,256,5,2,0.2850811922304941,0.0083370839056383,0.5555555555555556,7.393103294646023,1.522064447402954
splice,256,5,3,0.2884776302762973,0.0084047263299208,0.5439121756487026,7.384327195183926,1.5865178108215332
splice,256,5,4,0.2709897908440648,0.0087891300435726,0.5525615435795076,7.503830091600939,1.6348037719726562
splice,512,4,0,0.277849851574742,0.01178728414568,0.6137724550898204,7.3145670475174835,1.0400807857513428
splice,512,5,1,0.2851895345560598,0.0085352371371131,0.5472388556220892,7.366219529831804,1.6852645874023438
splice,512,5,2,0.2850811922304941,0.0083370839056383,0.5555555555555556,7.393103294646023,1.608644723892212
splice,512,5,3,0.2884776302762973,0.0084047263299208,0.5439121756487026,7.384327195183926,1.6466374397277832
splice,512,5,4,0.2709897908440648,0.0087891300435726,0.5525615435795076,7.503830091600939,1.721195936203003
splice,1024,4,0,0.277849851574742,0.01178728414568,0.6137724550898204,7.3145670475174835,1.0259032249450684
splice,1024,5,1,0.2851895345560598,0.0085352371371131,0.5472388556220892,7.366219529831804,1.7372817993164062
splice,1024,5,2,0.2850811922304941,0.0083370839056383,0.5555555555555556,7.393103294646023,1.5763344764709473
splice,1024,5,3,0.2884776302762973,0.0084047263299208,0.5439121756487026,7.384327195183926,1.6335253715515137
splice,1024,5,4,0.2709897908440648,0.0087891300435726,0.5525615435795076,7.503830091600939,1.656562089920044
vowel,4,4,0,0.0920342007707183,0.1374888474085369,0.5787878787878787,2.011847830786004,0.0128791332244873
vowel,4,4,1,0.0311232569134707,0.1195159298039646,0.5121212121212121,2.089180253342061,0.0162954330444335
vowel,4,4,2,0.0846738058077357,0.1368253154766652,0.5848484848484848,1.99001556741582,0.0155215263366699
vowel,4,4,3,0.084462966361958,0.132173474534368,0.5858585858585859,2.035095719532437,0.006873607635498
vowel,4,4,4,0.0922992833514457,0.1387142502971713,0.5808080808080808,2.003501365650979,0.0125284194946289
vowel,8,8,0,0.1529456196984321,0.1330190881456418,0.4424242424242424,1.9267292770304687,0.0275700092315673
vowel,8,8,1,0.1186354787161087,0.1299748307161087,0.4404040404040404,1.899651240433692,0.0296807289123535
vowel,8,8,2,0.1226572905911479,0.1435096846353381,0.3939393939393939,1.8100034430784824,0.0163893699645996
vowel,8,8,3,0.147769568913661,0.1399529015092611,0.4424242424242424,1.8256269539763856,0.0196611881256103
vowel,8,8,4,0.1737534203005219,0.1392171985369241,0.4646464646464646,1.8938060775223915,0.0229742527008056
vowel,16,16,0,0.1470009775007624,0.1492896380995661,0.2919191919191919,1.8665893824417732,0.0498051643371582
vowel,16,16,1,0.1397139236115494,0.1475776045065019,0.3242424242424242,1.769674141731059,0.0431392192840576
vowel,16,16,2,0.1512329109177767,0.1524827991870663,0.298989898989899,1.8007118146813452,0.0380570888519287
vowel,16,16,3,0.157336434672258,0.1484398451714768,0.3161616161616161,1.896188149858588,0.0190684795379638
vowel,16,16,4,0.1546608753854156,0.1438811934058591,0.307070707070707,1.9409981217620107,0.0407941341400146
vowel,32,32,0,0.145079899508018,0.1945004014143823,0.2363636363636363,1.5909387138137534,0.0569598674774169
vowel,32,32,1,0.121371857520894,0.1903603899704214,0.2141414141414141,1.5214512676088008,0.036668062210083
vowel,32,32,2,0.1350718159600268,0.1710550372596102,0.2383838383838384,1.715280433512811,0.0285229682922363
vowel,32,32,3,0.1217265989580649,0.1776862865946909,0.204040404040404,1.6989757723336427,0.0331952571868896
vowel,32,32,4,0.1466271507310826,0.1928674579712888,0.2292929292929293,1.6117469403117657,0.0506095886230468
vowel,64,64,0,0.1294358261066042,0.2348811780892327,0.1686868686868687,1.361747138093261,0.0749588012695312
vowel,64,64,1,0.1198504772712102,0.2418309712373675,0.1717171717171717,1.3415799838547755,0.0823643207550048
vowel,64,64,2,0.1036081865437404,0.2430817191495374,0.1505050505050505,1.3165398042468426,0.0427327156066894
vowel,64,64,3,0.1138889752430532,0.2425263864811224,0.1747474747474747,1.3717959007338782,0.0751552581787109
vowel,64,64,4,0.1164237661942113,0.2546023772175911,0.1636363636363636,1.3391029848109643,0.0780961513519287
vowel,128,128,0,0.0926196765463072,0.3049792545727451,0.1151515151515151,1.053439000337145,0.1380298137664795
vowel,128,128,1,0.0924919937322093,0.3373393994817728,0.1191919191919192,0.9815164415327786,0.0744791030883789
vowel,128,128,2,0.0851960838164581,0.3314200268736612,0.1171717171717171,0.9859763608496014,0.1083118915557861
vowel,128,128,3,0.0943011930012672,0.3363552842208275,0.1272727272727272,1.0042989374159337,0.1026949882507324
vowel,128,128,4,0.0964128764100289,0.3616665152768769,0.1131313131313131,0.952186023768482,0.1339514255523681
vowel,256,256,0,0.0646436546732874,0.3678993787085392,0.0686868686868686,0.6919614611727201,0.1986088752746582
vowel,256,256,1,0.0664931181780361,0.4032362334296266,0.0727272727272727,0.6919798704251661,0.1564719676971435
vowel,256,256,2,0.0652287433536611,0.3807049823687506,0.0686868686868686,0.7159103975399521,0.2097532749176025
vowel,256,256,3,0.0730298935284277,0.3908000207850174,0.0949494949494949,0.6967108605693975,0.1718511581420898
vowel,256,256,4,0.066100754819215,0.4062794310839297,0.0717171717171717,0.6881588382883959,0.1611099243164062
vowel,512,512,0,0.0375894320403711,0.2412307572913834,0.0666666666666666,0.4637907743631215,0.3296895027160644
vowel,512,512,1,0.0384486890134848,0.2659785942507279,0.0666666666666666,0.4549627460698614,0.3609497547149658
vowel,512,512,2,0.0385047851378908,0.2512693252725245,0.0666666666666666,0.504368013331075,0.3123290538787842
vowel,512,512,3,0.0389759582214762,0.2467394692750472,0.0737373737373737,0.507921117331634,0.3659334182739258
vowel,512,512,4,0.0400008698197572,0.2460077689367259,0.0717171717171717,0.4694512893706061,0.4050455093383789
vowel,1024,631,0,0.0307286405622127,0.1724925909270492,0.0666666666666666,0.3899602206748386,0.6398603916168213
vowel,1024,669,1,0.028616618051736,0.1644792199148669,0.0666666666666666,0.341225023444153,0.7653288841247559
vowel,1024,645,2,0.0302562444457554,0.1744367692453091,0.0666666666666666,0.3514611330893009,0.8148787021636963
vowel,1024,665,3,0.0279012531490047,0.1601762571307943,0.0646464646464646,0.3732673302573032,0.8670735359191895
vowel,1024,586,4,0.0365136497401765,0.198037331496004,0.0717171717171717,0.4195209521870031,0.5682723522186279
